175.207.249.159:50001Asia Pacific-140-KR
69.165.68.223:7443Asia Pacific-46-HK
140.245.42.30:443Asia Pacific-305-SG
49.238.238.144:8443North America-68-CN
112.146.187.55:29765Asia Pacific-134-KR
183.236.51.220:7002Asia Pacific-328-TW
221.167.103.240:12036Asia Pacific-206-KR
211.195.83.140:12194Asia Pacific-241-KR
118.45.138.207:12403Asia Pacific-250-KR
220.92.20.21:30050Asia Pacific-235-KR
34.150.80.6:43244Asia Pacific-75-HK
156.245.246.253:7443Asia Pacific-98-HK
147.46.120.110:30122Asia Pacific-246-KR
165.22.250.198:20205Asia Pacific-308-SG
121.152.118.98:10227Asia Pacific-226-KR
117.123.23.173:30029Asia Pacific-216-KR
43.163.6.142:30316Asia Pacific-275-SG
49.175.64.126:50000Asia Pacific-257-KR
49.238.238.156:2096North America-107-CN
112.167.218.150:10155Asia Pacific-168-KR
61.245.11.69:2053Asia Pacific-286-PH
39.121.234.38:10182Asia Pacific-218-KR
125.227.162.252:12486Asia Pacific-333-TW
223.111.179.26:9001Asia Pacific-19-CN
222.110.16.126:10405Asia Pacific-162-KR
8.34.146.203:2053North America-54-CN
192.0.63.225:443North America-12-CN
8.47.69.154:2096North America-29-CN
49.238.238.154:2096North America-87-CN
8.34.146.178:2053North America-128-CN
59.8.196.21:10002Asia Pacific-219-KR
159.65.131.86:443Asia Pacific-306-SG
103.44.255.81:443Asia Pacific-40-HK
220.118.83.101:60004Asia Pacific-254-KR
199.21.175.187:8443Asia Pacific-283-TH
8.34.146.203:443North America-21-CN
183.236.51.220:7004Asia Pacific-324-TW
96.9.211.152:8443Asia Pacific-282-SG
183.78.242.78:11883Asia Pacific-243-KR
121.153.128.196:10216Asia Pacific-158-KR
183.236.51.201:7003Asia Pacific-336-TW
31.185.108.19:8443North America-61-CN
49.238.238.152:2053North America-50-CN
173.234.15.93:443Asia Pacific-126-SG
8.34.146.208:2053North America-66-CN
222.103.221.171:27002Asia Pacific-148-KR
182.211.29.41:30023Asia Pacific-147-KR
175.113.11.149:10265Asia Pacific-258-KR
213.35.100.31:47112Asia Pacific-279-SG
175.200.106.239:22000Asia Pacific-267-KR
205.189.160.230:8878Asia Pacific-100-HK
8.34.146.19:8443North America-43-CN
121.178.121.161:50000Asia Pacific-167-KR
221.164.141.35:10307Asia Pacific-195-KR
59.3.3.161:8443Asia Pacific-253-KR
49.238.238.150:2053North America-9-CN
121.132.24.246:50001Asia Pacific-209-KR
220.71.102.124:32783Asia Pacific-185-KR
202.85.53.77:7000Asia Pacific-73-HK
217.142.227.105:20071Asia Pacific-133-JP
84.247.146.237:7443Asia Pacific-299-SG
182.224.75.12:10325Asia Pacific-150-KR
61.72.176.145:18016Asia Pacific-200-KR
162.247.241.146:443North America-124-CN
118.41.206.30:15200Asia Pacific-252-KR
220.125.55.47:16012Asia Pacific-145-KR
36.250.73.115:10002Asia Pacific-96-CN
192.0.63.225:2087North America-51-CN
178.128.107.58:3128Asia Pacific-294-SG
118.41.27.62:12166Asia Pacific-197-KR
43.255.118.21:7443Asia Pacific-111-HK
46.232.105.78:7443Asia Pacific-123-HK
8.6.112.232:8443North America-7-CN
112.186.25.177:10062Asia Pacific-181-KR
119.201.181.172:32783Asia Pacific-225-KR
59.8.196.21:20153Asia Pacific-143-KR
183.236.51.201:7005Asia Pacific-327-TW
8.34.146.110:2096North America-48-CN
8.34.146.215:2083North America-24-CN
192.0.54.31:2087North America-57-CN
183.97.196.49:50000Asia Pacific-266-KR
188.166.182.46:8888Asia Pacific-281-SG
23.141.12.23:8443Asia Pacific-3-HK
5.199.166.174:443Asia Pacific-318-SG
31.185.108.231:2053North America-92-CN
8.35.211.15:2087Asia Pacific-2-CN
182.211.29.41:20085Asia Pacific-142-KR
49.238.238.156:2053North America-52-CN
8.34.146.175:8443North America-127-CN
112.170.224.52:10263Asia Pacific-262-KR
31.185.108.19:2096North America-30-CN
45.196.220.114:8443Asia Pacific-103-HK
167.172.88.191:993Asia Pacific-293-SG
192.0.54.31:2096North America-27-CN
175.113.29.202:30027Asia Pacific-237-KR
61.102.250.123:10272Asia Pacific-229-KR
92.112.20.95:443Asia Pacific-315-SG
43.135.6.243:60007Asia Pacific-49-HK
117.123.237.115:12266Asia Pacific-82-KR
119.195.36.69:50000Asia Pacific-233-KR
183.236.51.201:7002Asia Pacific-326-TW
116.44.53.251:12211Asia Pacific-153-KR
114.32.9.249:16443Asia Pacific-335-TW
113.252.194.164:17110Asia Pacific-115-HK
8.219.54.136:443Asia Pacific-271-SG
8.34.146.150:2083North America-88-CN
